date	C	C#	D	D#	E	F	F#	G	G#	A	A#	B
Dec 31 1950	4.3478260869565215	13.043478260869565	13.043478260869565	4.3478260869565215	0	4.3478260869565215	4.3478260869565215	17.391304347826086	13.043478260869565	4.3478260869565215	21.73913043478261	0
Dec 31 1951	11.538461538461538	15.384615384615385	7.6923076923076925	7.6923076923076925	0	11.538461538461538	3.8461538461538463	15.384615384615385	7.6923076923076925	3.8461538461538463	11.538461538461538	1
Dec 30 1952	12.5	4.166666666666666	20.833333333333336	8.333333333333332	4.166666666666666	0	4.166666666666666	12.5	8.333333333333332	8.333333333333332	12.5	1
Dec 31 1953	14.814814814814813	11.11111111111111	18.51851851851852	7.4074074074074066	11.11111111111111	3.7037037037037033	0	11.11111111111111	14.814814814814813	0	7.4074074074074066	0
Dec 31 1954	13.793103448275861	3.4482758620689653	17.24137931034483	3.4482758620689653	3.4482758620689653	10.344827586206897	0	6.896551724137931	13.793103448275861	6.896551724137931	13.793103448275861	2
Dec 31 1955	12.5	8.333333333333332	12.5	8.333333333333332	0	0	0	16.666666666666664	4.166666666666666	25	8.333333333333332	1
Dec 30 1956	11.11111111111111	9.876543209876543	7.4074074074074066	6.172839506172839	7.4074074074074066	9.876543209876543	1.2345679012345678	11.11111111111111	12.345679012345679	11.11111111111111	7.4074074074074066	4
Dec 31 1957	11.494252873563218	5.747126436781609	10.344827586206897	8.045977011494253	6.896551724137931	4.597701149425287	3.4482758620689653	9.195402298850574	11.494252873563218	11.494252873563218	13.793103448275861	3
Dec 31 1958	13.924050632911392	3.79746835443038	5.063291139240507	6.329113924050633	8.860759493670885	10.126582278481013	3.79746835443038	11.39240506329114	6.329113924050633	10.126582278481013	17.72151898734177	2
Dec 31 1959	12.643678160919542	9.195402298850574	4.597701149425287	12.643678160919542	8.045977011494253	6.896551724137931	5.747126436781609	12.643678160919542	4.597701149425287	8.045977011494253	12.643678160919542	2
Dec 30 1960	7.6923076923076925	7.6923076923076925	6.593406593406594	7.6923076923076925	6.593406593406594	18.681318681318682	3.296703296703297	13.186813186813188	6.593406593406594	7.6923076923076925	8.791208791208792	5
Dec 31 1961	10.465116279069768	6.976744186046512	17.441860465116278	3.488372093023256	5.813953488372093	8.13953488372093	2.3255813953488373	12.790697674418606	9.30232558139535	11.627906976744185	8.13953488372093	3
Dec 31 1962	14.893617021276595	5.319148936170213	8.51063829787234	6.382978723404255	7.446808510638298	15.957446808510639	1.0638297872340425	8.51063829787234	4.25531914893617	17.02127659574468	6.382978723404255	4
Dec 31 1963	12.087912087912088	7.6923076923076925	6.593406593406594	8.791208791208792	9.89010989010989	9.89010989010989	3.296703296703297	12.087912087912088	7.6923076923076925	10.989010989010989	6.593406593406594	4
Dec 30 1964	14.942528735632186	10.344827586206897	6.896551724137931	8.045977011494253	9.195402298850574	4.597701149425287	6.896551724137931	6.896551724137931	2.2988505747126435	17.24137931034483	5.747126436781609	6
Dec 31 1965	13.636363636363635	7.954545454545454	11.363636363636363	1.1363636363636365	10.227272727272728	9.090909090909092	7.954545454545454	10.227272727272728	2.272727272727273	14.772727272727273	6.8181818181818175	4
Dec 31 1966	11.702127659574469	5.319148936170213	10.638297872340425	7.446808510638298	9.574468085106384	9.574468085106384	7.446808510638298	7.446808510638298	5.319148936170213	11.702127659574469	6.382978723404255	7
Dec 31 1967	13.636363636363635	3.4090909090909087	13.636363636363635	2.272727272727273	9.090909090909092	7.954545454545454	5.681818181818182	15.909090909090908	3.4090909090909087	12.5	10.227272727272728	2
Dec 30 1968	12.76595744680851	5.319148936170213	15.957446808510639	5.319148936170213	8.51063829787234	9.574468085106384	7.446808510638298	10.638297872340425	4.25531914893617	9.574468085106384	5.319148936170213	5
Dec 31 1969	11.827956989247312	5.376344086021505	12.903225806451612	2.1505376344086025	6.451612903225806	10.75268817204301	3.225806451612903	11.827956989247312	5.376344086021505	18.27956989247312	6.451612903225806	5
Dec 31 1970	7.4074074074074066	7.4074074074074066	8.641975308641975	3.7037037037037033	9.876543209876543	13.580246913580247	1.2345679012345678	11.11111111111111	11.11111111111111	17.28395061728395	4.938271604938271	3
Dec 31 1971	13.253012048192772	7.228915662650602	18.072289156626507	4.819277108433735	7.228915662650602	3.614457831325301	6.024096385542169	12.048192771084338	3.614457831325301	7.228915662650602	6.024096385542169	9
Dec 31 1973	13.48314606741573	10.112359550561797	12.359550561797752	3.3707865168539324	8.98876404494382	10.112359550561797	4.49438202247191	12.359550561797752	3.3707865168539324	10.112359550561797	4.49438202247191	6
Dec 31 1974	14.285714285714285	6.593406593406594	12.087912087912088	2.197802197802198	7.6923076923076925	9.89010989010989	4.395604395604396	13.186813186813188	4.395604395604396	13.186813186813188	4.395604395604396	7
Dec 31 1975	18.823529411764707	4.705882352941177	9.411764705882353	0	9.411764705882353	9.411764705882353	1.1764705882352942	12.941176470588237	3.5294117647058822	15.294117647058824	11.76470588235294	3
Dec 30 1976	14.285714285714285	7.6923076923076925	8.791208791208792	5.4945054945054945	7.6923076923076925	10.989010989010989	1.098901098901099	14.285714285714285	2.197802197802198	9.89010989010989	9.89010989010989	7
Dec 31 1977	22.340425531914892	4.25531914893617	9.574468085106384	5.319148936170213	6.382978723404255	9.574468085106384	4.25531914893617	7.446808510638298	4.25531914893617	13.829787234042554	8.51063829787234	4
Dec 31 1978	15.384615384615385	5.4945054945054945	7.6923076923076925	1.098901098901099	6.593406593406594	7.6923076923076925	4.395604395604396	13.186813186813188	6.593406593406594	16.483516483516482	4.395604395604396	10
